"URN","LAESTAB","Region","Closed","SCHNAME","addmission_type","institution_type","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","PCODE","OFSTED","TELNUM","disadv1617","dis_5e_m1617","nondis_5e_m1617","dis_p8_1617","nondis_p8_1617","dis_ebacc_ent_1617","nondis_ebacc_ent_1617"
140188,"9264009","East","No","Hethersett Academy","Comprehensive (secondary)","Academy sponsor led","Queen's Road","Hethersett",NA,"Norwich","NR9 3DB",1,"0160 3810924",17,1,1,1,1,1,1
135317,"9286907","East Midlands","No","Brooke Weston Academy","Comprehensive (secondary)","Academy sponsor led","Coomb Road","Corby",NA,"Great Oakley","NN18 8LA",1,"0153 6396366",24,1,1,1,1,1,1
136299,"9285404","East Midlands","No","Northampton School for Boys","Comprehensive (secondary)","Academy converter","Billing Road",NA,NA,"Northampton","NN1 5RT",1,"0160 4230240",40,1,1,1,1,1,1
136976,"9285400","East Midlands","No","Southfield School for Girls","Comprehensive (secondary)","Academy converter","Lewis Road",NA,NA,"Kettering","NN15 6HE",2,"0153 6513063",28,1,1,1,1,1,1
140510,"9284076","East Midlands","No","Northampton School for Girls","Comprehensive (secondary)","Academy converter","Spinney Hill Road",NA,NA,"Northampton","NN3 6DG",1,"0160 4679540",62,1,1,1,1,1,1
139146,"9314120","South East","No","Cheney School","Comprehensive (secondary)","Academy converter","Cheney Lane","Headington",NA,"Oxford","OX3 7QH",2,"0186 5765726",67,1,1,1,1,1,1
137970,"9314116","South East","No","The Cherwell School","Comprehensive (secondary)","Academy converter","Marston Ferry Road",NA,NA,"Oxford","OX2 7EE",1,"0186 5558719",45,1,1,1,1,1,1
125278,"9364622","South East","No","St Bede's School","Comprehensive (secondary)","Voluntary aided school","Carlton Road",NA,NA,"Redhill","RH1 2LQ",1,"0173 7212108",24,1,1,1,1,1,1
139193,"9365400","South East","No","Guildford County School","Comprehensive (secondary)","Academy converter","Farnham Road",NA,NA,"Guildford","GU2 4LU",1,"0148 3504089",19,1,1,1,1,1,1
137736,"9365407","South East","No","Rosebery School","Comprehensive (secondary)","Academy converter","White Horse Drive",NA,NA,"Epsom","KT18 7NQ",1,"0137 2720439",25,1,1,1,1,1,1
143369,"9365402","South East","No","St John the Baptist Catholic Comprehensive School, Woking","Comprehensive (secondary)","Academy converter","Elmbridge Lane","Kingfield",NA,"Woking","GU22 9AL",1,"0148 3729343",11,1,1,1,1,1,1
140117,"9364190","South East","No","Tomlinscote School and Sixth Form College","Comprehensive (secondary)","Academy converter","Tomlinscote Way","Frimley",NA,"Camberley","GU16 8PY",1,"0127 6709050",21,1,1,1,1,1,1
137003,"9365413","South East","No","Fullbrook School","Comprehensive (secondary)","Academy converter","Selsdon Road","New Haw",NA,"Addlestone","KT15 3HW",2,"0193 2349301",42,1,1,1,1,1,1
125315,"9365415","South East","No","All Hallows Catholic School","Comprehensive (secondary)","Voluntary aided school","Weybourne Road",NA,NA,"Farnham","GU9 9HF",1,"0125 2319211",24,1,1,1,1,1,1
125747,"9374236","West Midlands","No","Kenilworth School and Sixth Form","Comprehensive (secondary)","Foundation school","Leyes Lane",NA,NA,"Kenilworth","CV8 2DA",1,"0192 6859421",27,1,1,1,1,1,1
136587,"9374241","West Midlands","No","Ashlawn School","Comprehensive (secondary)","Academy converter","Ashlawn Road","Hillmorton",NA,"Rugby","CV22 5ET",1,"0178 8573425",40,1,1,1,1,1,1
137767,"9374153","West Midlands","No","Higham Lane School","Comprehensive (secondary)","Academy converter","Shanklin Drive",NA,NA,"Nuneaton","CV10 0BJ",2,"0247 6388123",37,1,1,1,1,1,1
137771,"9374004","West Midlands","No","Etone College","Comprehensive (secondary)","Academy converter","Leicester Road",NA,NA,"Nuneaton","CV11 6AA",2,"0247 6757300",43,1,1,1,1,1,1
126093,"9384502","South East","No","Davison Church of England High School for Girls, Worthing","Comprehensive (secondary)","Voluntary controlled school","Selborne Road",NA,NA,"Worthing","BN11 2JX",2,"0190 3233835",39,1,1,1,1,1,1
139668,"9384006","South East","No","Chichester Free School","Comprehensive (secondary)","Free schools","The Courtyard","Vinnetrow Road","Runcton","Chichester","PO20 1QH",2,"0124 3792690",6,1,1,1,1,1,1
126066,"9384010","South East","No","Millais School","Comprehensive (secondary)","Community school","Depot Road",NA,NA,"Horsham","RH13 5HR",1,"0140 3254932",22,1,1,1,1,1,1
